Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animals,Strain,SlpES,SlpV,IntES,IntV
Comp0582,Exp0018,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,0.377157895,0.012157895,-0.679421053,0.060789474
Comp0400,Exp0217,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-B,0.379622419,0.026359882,-1.699575221,0.139486726
Comp0466,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,0.385357802,0.188536703,-1.425607033,0.994598242
Comp0468,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,0.38771541,0.23427036,-2.304455646,1.235058734
Comp0318,Exp0163,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.397782493,0.056736074,-2.011106101,0.300262599
Comp0115,Exp0054,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.445142857,0.008057143,-1.171142857,0.044057143
Comp0084,Exp0038,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,YPK9,0.452646595,0.130835678,-1.764519415,0.708332583
Comp0635,Exp0320,Paper192,Lamming,2005,SCIENCE,309,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,W303AR5,0.457612851,0.101864257,-1.419570281,0.549281124
Comp0179,Exp0095,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,0.478860465,0.025976744,-1.085027907,0.14647907
Comp0237,Exp0125,Paper096,Sonntag,1992,J GERONTOL A-BIOL,47,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,0.481198183,0.094807597,-1.936537572,0.511063584
Comp0307,Exp0157,Paper120,Medvedik,2007,PLOS BIOL,5,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,WT_yeast,0.487684537,0.140825621,-1.797137698,0.761735892
Comp0570,Exp0291,Paper189,Grandison,2009,NATURE,462,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.503529496,0.055581295,-2.100027338,0.298922302
Comp0114,Exp0054,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.568316239,0.008991453,-1.673059829,0.049811966
Comp0572,Exp0291,Paper189,Grandison,2009,NATURE,462,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.65543622,0.051875591,-2.182651969,0.288691339
Comp0123,Exp0059,Paper070,Rogina,2002,SCIENCE,298,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,WT_drosophila,0.699090909,0.017272727,-2.874727273,0.095930736
Comp0338,Exp0178,Paper131,Kaeberlein,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,0.75782149,0.102814558,-2.191658579,0.58002773
Comp0313,Exp0161,Paper123,Libert,2008,MOL IMMUNOL,45,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,0.850480916,0.010198473,-2.592648855,0.059435115
